,text,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
1517,"if we look back at time in the united states young people were thrilled to be able to drive. but in more recent years studies show that the young in the united states dont really have the same thrill anymore actually there really not interested at all they find alternative ways to get to were there going like public transportation carpooling biking or just good old walking and really its not a bad idea at all if we can get others in the US to limiting the use if there cars it could do the world a lotta good

If you take a look at Colombia for instience they have a day where in bogota 7 million people are banned using there cars for a day they find alternatives to get around like biking hiking walking busses and taxi cabs doing this is a good way to stop air polluion and also to promote alternatives transportation and if people violate it theres a fine of $25 a bussiness man by the name of Carlos Arturo Plaza says ""its a good opportunity to take away stress and lower air pollution""

in Germany theres one suburb that carry on's with lives without cars street parking driveways and home garages are grenrally forbidden Vaubans streets are completly car free except the main thoroughfare where theres a tram that takes them downtown in this expermintal upscale town on the outskirts of freiburg car ownership is actually allowed but theres only 2 places to park there are large garages at the edge of the development where a car onwer buys a space for $40,000 along with a home due to the outrageous price 70 percent of the families that live in Vauban dont own cars and 57 percent sold there cars to move Vauban in clousion i think if we could all take a page from everybodys book i truely think we could spread awareness and maybe cut down or even get rid of most of the air polution not just in the united states or columbia or in germany...but get rid of air pollution in the whole intire world                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ",46,5,0.8039,0.2452,0.9949,0.4766,0.5886,90.75,172,205,"[1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 2, 3, 2, 1, 1, 1, 2, 1, 2, 1, 1, 2, 2, 2, 2, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 2, 1, 2, 1, 3, 3, 2, 2, 1, 3, 1, 1, 1, 1, 5, 1, 1, 1, 1, 2, 2, 2, 2, 2, 5, 4, 2, 1, 1, 2, 1, 2, 1, 2, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 3, 1, 2, 1, 2, 1, 1, 2, 1, 1, 1, 1, 2, 2, 1, 2, 2, 1, 2, 1, 4, 1, 4, 1, 2, 1, 1, 2, 1, 3, 0, 3, 3, 2, 1, 2, 2, 1, 1, 1, 1, 1, 1, 4, 1, 1, 3, 2, 2, 2, 2, 1, 1, 2, 1, 2, 1, 1, 1, 2, 1, 1, 1, 2, 4, 1, 2, 1, 3, 4, 5, 1, 1, 3, 4, 1, 1, 1, 2, 1, 0, 1, 3, 1, 0, 1, 2, 1, 2, 3, 2, 1, 0, 1, 1, 2, 4, 1, 2, 2, 1, 1, 2, 2, 4, 0, 1, 2, 1, 2, 2, 1, 1, 1, 0, 1, 1, 3, 1, 2, 2, 3, 1, 2, 2, 2, 2, 3, 3, 2, 2, 2, 1, 2, 2, 1, 2, 5, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 4, 3, 1, 1, 1, 3, 1, 3, 1, 3, 1, 3, 2, 1, 1, 1, 0, 1, 1, 1, 2, 2, 2, 2, 1, 1, 2, 1, 1, 4, 2, 1, 1, 2, 1, 1, 2, 1, 0, 2, 1, 1, 2, 2, 1, 1, 6, 2, 0, 2, 1, 1, 3, 1, 2, 1, 3, 1, 1, 1, 1, 0, 2, 1, 2, 1, 1, 2, 3, 1, 4, 1, 1, 1, 1, 2, 1, 2, 1, 2, 1, 3, 2, 1, 2, 1, 1, 2, 2, 4, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 4, 1, 1, 1, 1, 2, 1, 1, 4, 1, 1, 2, 0, 1, 1, 1, 1, 2, 4, 1, 1, 2, 3, 1]",7,4.2865
2549,"Imagen the streets with no cars empty with only people on bikes and scootrers. The air is cleaner and every one can breath easier. If we stop useing cars this could be a realitly there would be less CO² Emissons. A lot of the deaths and major injeoreys would be decreased on a daily basis. Every one would be more fit and active. These are just a few reasons that giving up your car is a good idea.

if most people were to give up there car then there would be less CO² Emmissons andn the air would be cleaner. the cleaner the air the easier everyone can breath. if the CO

² went down the the green house gasses would go down and the trees that absorbe in the gasses would have a easier time and globle warming would slowdown.

every day people die or are injerored in car accadents the loss affects the families to so if we get rid of cars then less people would die and there would be less greiving families. imagen how you would feel if any of your families died in a car crash.

if everyone had to walk or bike to work then everyone would be more fit and healthy. alot of americans are obeies i know i am to but if every one had to walk or bike insted of sit in a car and drive then every one would be more fit making a better labor force.

so if every one were to stop driiving and give up therer cars then everyone could breath better. there would be less death and less greaving familys. there would also be a more fit labor force for the jobs that needed to be done. i think that is a world i would want to live in dont you.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ",41,7,0.7083,0.2637,0.9861,0.4379,0.5696,17.8889,137,165,"[3, 1, 2, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 3, 1, 2, 1, 3, 1, 2, 2, 1, 2, 4, 1, 1, 1, 3, 1, 1, 2, 1, 1, 3, 2, 2, 1, 1, 1, 3, 1, 1, 1, 1, 2, 1, 2, 4, 2, 1, 3, 1, 1, 2, 2, 2, 2, 2, 1, 2, 1, 1, 3, 2, 2, 1, 1, 1, 3, 1, 2, 1, 2, 1, 1, 1, 2, 3, 1, 1, 3, 2, 1, 2, 1, 2, 1, 1, 2, 2, 1, 1, 1, 3, 1, 1, 2, 2, 1, 3, 1, 3, 1, 2, 1, 4, 4, 1, 2, 1, 1, 1, 0, 1, 1, 1, 1, 2, 3, 1, 2, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 2, 2, 1, 4, 2, 1, 2, 2, 2, 2, 2, 1, 3, 2, 1, 2, 3, 1, 1, 3, 1, 1, 2, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 2, 2, 1, 2, 2, 1, 1, 3, 3, 3, 1, 2, 2, 2, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 2, 1, 1, 1, 4, 2, 1, 2, 1, 1, 2, 2, 1, 4, 2, 3, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 2, 1, 2, 1, 2, 1, 2, 2, 2, 1, 1, 2, 2, 2, 1, 1, 3, 1, 2, 1, 2, 1, 1, 4, 2, 2, 2, 2, 2, 1, 1, 2, 1, 1, 3, 2, 2, 2, 2, 1, 1, 2, 1, 2, 2, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2]",6,3.8012
1772,"This passage is about a germany mom from the suburban pioneers where the commuting executives have gone before they given up their cars street parking , driveways also home garages are generally forbidden in this experimental new district on the outskirts for freiburg near the french and swiss borders vaubans streets are completely car free the main thoroughfare where the tram to downtown freiburg runs the few streets on one edge of the community ownership is allowed there are only two places to a larger park with alot of money you can buy a space with 40,000, with a home on the side. Vauban completed in 2006 is an example of a growing trend in rurope the united states and elsewhere to separte suburban life from auto use as a compnent of a movement called planning smart all of our development since world war ii has been centered on the car and that will have to change the guy david said of the transportation for america a fast growing coalition of hundreds of groups coaliton of hundreds of groups in the united states who are promoting new communities that are less dependent on cars thye said about the hybrid and things like that. In the united states the environmental protection agency is promoting car reduced communities and legislators are starting to act if cautiously many experts public transport serving suburbs to play a much larger role in a new six year federal transportation bill to be approved this year mr goldberg said previous bills 80 percent of appropriations have 20 percetnt to other transport. Diesel fuel was blamed since france has tax policy that favors diesel over gasoline make up to 67 percent of vehicles in france compared to a 53.3 percent average of diesel engines in the rest of western furope according  to reuters                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ",34,2,0.8889,0.1957,0.9952,0.521,0.6065,77.25,159,179,"[1, 3, 1, 3, 1, 2, 1, 1, 1, 3, 4, 2, 1, 3, 4, 2, 2, 3, 1, 2, 1, 2, 1, 2, 2, 3, 2, 2, 2, 2, 3, 3, 1, 1, 5, 1, 2, 1, 1, 3, 1, 3, 2, 1, 1, 1, 1, 2, 3, 2, 2, 3, 1, 2, 1, 2, 5, 2, 1, 1, 1, 2, 3, 1, 1, 1, 2, 1, 2, 2, 1, 1, 3, 3, 1, 2, 2, 2, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 2, 2, 1, 1, 1, 2, 1, 0, 1, 1, 2, 1, 1, 2, 3, 2, 1, 0, 1, 1, 3, 1, 1, 2, 1, 1, 3, 1, 2, 1, 1, 4, 1, 3, 3, 2, 1, 3, 2, 1, 1, 2, 1, 1, 3, 1, 2, 1, 1, 1, 2, 4, 2, 1, 1, 2, 1, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 2, 2, 1, 1, 5, 1, 4, 1, 1, 2, 5, 1, 2, 1, 2, 4, 1, 2, 1, 2, 1, 1, 2, 1, 1, 2, 3, 1, 4, 1, 2, 1, 3, 1, 1, 1, 2, 3, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 5, 4, 2, 1, 3, 1, 2, 4, 1, 4, 2, 2, 1, 1, 1, 5, 1, 2, 2, 2, 2, 2, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 2, 3, 5, 1, 1, 1, 2, 1, 2, 0, 2, 2, 4, 1, 0, 2, 1, 6, 2, 0, 2, 1, 2, 2, 3, 2, 1, 1, 2, 2, 1, 1, 2, 1, 2, 3, 2, 4, 2, 1, 1, 0, 2, 1, 2, 1, 2, 2, 1, 1, 0, 2, 4, 1, 3, 2, 1, 1, 1, 1, 2, 3, 3, 1, 3]",0,4.7282
